date,volume,open,close,high,low,adjclose,T10Y2Y
8/16/2018,69967900,283.3999939,284.0599976,285.0400085,283.3599854,279.9052734,0.86
8/15/2018,102925400,282.3800049,281.7799988,282.5400085,280.1600037,277.6585999,0.84
8/14/2018,43842000,282.9200134,283.8999939,284.1700134,282.480011,279.7475891,0.79
8/13/2018,65686900,283.4700012,282.1000061,284.1600037,281.769989,277.973938,0.78
8/10/2018,77076000,283.4500122,283.1600037,284.0599976,282.3599854,279.0184326,0.8
8/9/2018,35652400,285.5299988,285.0700073,285.9700012,284.9200134,280.9004822,0.82
8/8/2018,42114600,285.3900146,285.4599915,285.9100037,284.9400024,281.2847595,0.83
8/7/2018,43196600,285.3900146,285.5799866,286.0100098,285.2399902,281.4030151,0.84
8/6/2018,39400900,283.6400146,284.6400146,284.9899902,283.2000122,280.4767761,0.83
8/3/2018,53935400,282.5299988,283.6000061,283.6600037,282.3299866,279.4519958,0.81
8/2/2018,63426400,279.3900146,282.3900146,282.5799866,279.1600037,278.2597351,0.83
8/1/2018,53853300,281.5599976,280.8599854,282.1300049,280.1300049,276.7520447,0.85
7/31/2018,68570500,280.8099976,281.3299866,282.019989,280.3800049,277.2151489,0.84
7/30/2018,63742500,281.5100098,279.9500122,281.6900024,279.3599854,275.8554077,0.82
7/27/2018,76768700,283.7099915,281.4200134,283.8200073,280.3800049,277.303894,0.79
7/26/2018,57919500,283.2000122,283.3399963,284.1099854,283.0899963,279.1958008,0.78
7/25/2018,78882900,281.3299866,284.0100098,284.3699951,281.2799988,279.8559875,0.8
7/24/2018,68026900,281.7900085,281.6099854,282.5599976,280.6300049,277.4910889,0.77
7/20/2018,82337700,279.769989,279.6799927,280.480011,279.5,275.589325,0.81
7/19/2018,61412100,280.3099976,280,280.7399902,279.4599915,275.9046631,0.79
7/18/2018,44593500,280.5599976,281.0599976,281.1799927,280.0599976,276.9491577,0.82
7/17/2018,52315500,278.4700012,280.4700012,280.9100037,278.4100037,276.3677979,0.8
7/16/2018,48201000,279.6400146,279.3399963,279.7999878,278.8399963,275.2542725,0.83
7/13/2018,48216000,279.1700134,279.5899963,279.9299927,278.6600037,275.5006409,0.82
7/12/2018,60124700,278.2799988,279.3699951,279.4299927,277.6000061,275.283844,0.86
7/11/2018,77054700,277.1499939,276.8599854,278.0400085,276.519989,272.8105774,0.85
7/10/2018,51966800,278.4100037,278.8999939,279.0100098,278.0799866,274.8207092,0.89
7/9/2018,50550400,276.5499878,277.8999939,277.9599915,276.5,273.8353577,0.86
7/6/2018,66493700,273.1400146,275.4200134,275.8399963,272.7099915,271.3916321,0.86
7/5/2018,56925900,272.1700134,273.1099854,273.1799927,270.9599915,269.115387,0.87
7/3/2018,42187100,272.8699951,270.8999939,272.980011,270.4200134,266.9377441,0.9
7/2/2018,63554800,269.5100098,271.8599854,272.0400085,269.2399902,267.8836975,0.92
